City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
374,puerto aysen,-45.4,-72.7,2.52,98,93,2.04,CL,1727421443
375,plouguerneau,48.6,-4.5,13.56,87,100,11.32,FR,1727421444
376,mao,39.8885,4.2658,23.31,94,0,1.54,ES,1727421445
377,ares,-6.1944,-35.1603,22.05,90,49,3.45,BR,1727421447
378,vilyuchinsk,52.9306,158.4028,10.15,79,100,1.54,RU,1727421448
379,rikaze,29.25,88.8833,14.37,50,99,1.9,CN,1727421425
380,novodvinsk,64.4165,40.8122,14.86,87,100,4.13,RU,1727421202
381,ixtapa,20.7,-105.2,28.57,100,75,0.0,MX,1727421453
382,halifax,44.6453,-63.5724,14.69,94,100,1.34,CA,1727421235
383,tabou,4.423,-7.3528,24.29,91,100,3.26,CI,1727421456
384,bima,-8.4667,118.7167,32.95,49,79,1.93,ID,1727421457
385,badger,64.8,-147.5333,5.76,92,100,3.09,US,1727421458
386,kamina,-8.7386,24.9906,30.69,24,7,1.45,CD,1727421459
387,douz,33.4663,9.0203,28.91,33,13,2.17,TN,1727421462
388,tolland,41.8501,-72.3495,17.13,96,100,1.54,US,1727421464
389,winnemucca,40.973,-117.7357,8.03,57,0,3.6,US,1727421465
390,churapcha,62.0025,132.4325,10.41,82,100,6.03,RU,1727421466
391,obo,5.3998,26.4869,26.51,71,10,0.15,CF,1727421468
392,margate,51.3813,1.3862,11.61,84,100,0.45,GB,1727421469
393,colesberg,-30.72,25.0972,15.42,32,60,1.94,ZA,1727421470
394,namibe,-15.1961,12.1522,21.45,82,100,3.06,AO,1727421472
395,swakopmund,-22.6833,14.5333,15.47,85,22,2.24,NA,1727421473
396,tan-tan,28.438,-11.1032,21.97,83,75,5.14,MA,1727421474
397,puerto carreno,6.189,-67.4859,24.73,89,100,1.98,CO,1727421475
398,hermanus,-34.4187,19.2345,14.33,84,71,2.93,ZA,1727421189
399,oropesa del mar,40.1,0.15,24.39,53,64,2.34,ES,1727421478
400,tinajo,29.0788,-13.7081,21.49,83,75,3.6,ES,1727421482
401,smithers,54.7804,-127.1743,5.18,100,100,2.06,CA,1727421483
402,aswan,24.0934,32.907,33.58,23,4,4.4,EG,1727421484
403,tromso,69.6496,18.957,5.01,75,75,4.12,NO,1727421485
404,shangqiu,34.45,115.65,25.23,61,73,3.6,CN,1727421487
405,springfield,37.2153,-93.2982,14.9,87,0,2.68,US,1727421488
406,bengkulu,-3.8004,102.2655,34.55,70,22,7.09,ID,1727421016
407,kyren,51.6828,102.1408,5.65,79,100,1.11,RU,1727421493
408,insar,53.8653,44.3738,18.23,22,8,7.52,RU,1727421494
409,nishinoomote,30.7333,131.0,28.31,74,20,3.6,JP,1727421495
410,happy valley-goose bay,53.3168,-60.3315,6.17,87,20,2.57,CA,1727421496
411,the pas,53.8251,-101.2541,10.01,76,0,5.61,CA,1727421498
412,kingston,17.997,-76.7936,26.2,88,12,1.11,JM,1727421499
413,ploneour-lanvern,47.9,-4.2833,12.18,94,75,9.77,FR,1727421500
414,kurchatov,51.6601,35.6521,19.23,45,100,8.84,RU,1727421501
415,vila velha,-20.3297,-40.2925,23.97,81,40,4.12,BR,1727421503
